EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Density(in),nWeakComp(in),pWeakComp(in),2StepReach(in),ReachEffic(in),Broker(in),nBroker(in),EgoBetween(in),nEgoBetween(in),Size(out),Ties(out),Pairs(out),Density(out),nWeakComp(out),pWeakComp(out),2StepReach(out),ReachEffic(out),Broker(out),nBroker(out),EgoBetween(out),nEgoBetween(out),Size(un),Ties(un),Pairs(un),Density(un),nWeakComp(un),pWeakComp(un),2StepReach(un),ReachEffic(un),Broker(un),nBroker(un),EgoBetween(un),nEgoBetween(un),Outdeg,Indeg,nOutdeg,nIndeg,Degree,NrmDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,inCloseness,outCloseness,Betweenness,nBetweenness,InfoCent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,HeuBug,HeuBugCount,RealBug,RealBugCount
4.599999905,0.920000017,0.300000012,0.050385926,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,5,4,80,11.84895802,91.91918945,9.5,0.474999994,0,0,5,1,20,5,4,80,11.84895802,91.91918945,9.5,0.474999994,0,0,5,0,0.006510417,0,5,0.650195062,0.000953262,0.134811625,5,590592,375859,0.130039006,0.204331949,0,0,0.143021598,69.83056641,1,0.090806976,0.00130039,4.699999809,0.939999998,0.232046768,0.019745208,0,10,291,1,0,1,0,24,1,12,0,0,1,24,27,21,24,24,76,0,0,1,24,160,24,24,72,221,104,0.12,51,176,1,151,1,24,1,0,2,0,9,2,1,0.333333333,0,12,4.416666667,1,1,1,1,0,0,0,0,0,0,0,0,0.896907216,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,100,0.651041687,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.651041687,100,0,0,0,0,0,1,0,0.001302083,1,0.130039006,6.00E-05,0.008490994,0,589057,590592,0.130377874,0.130039006,0,0,0.125346869,1,2.5,0.00130039,0.003250975,1,1,1,1,0,3,42,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,7,0,2,1,3,5,3,3,7,14,3,1.36,9,10,1,6,0,3,1,66,1,1,0,1,3,1.333333333,0,1,1,1,1,1,1,1,0.166666667,0,0,0,0,0,0,0.595238095,0,0,2,0,0,0,0,0,0
2,1,0.5,0,1,0,0,0,1,100,0.520833313,100,0,0,0,0,1,0,0,0,1,100,10.9375,98.8235321,0,0,0,0,2,0,2,0,2,100,11.328125,97.75280762,1,0.5,1,50,1,1,0.001302083,0.001302083,2,0.260078013,0.000840604,0.118879318,1,589057,380481,0.130377874,0.201849759,67.93452454,0.011532779,0.137152925,63.64724731,2.5,0.08276625,0.003250975,2,1,0.5,0,0,3,50,1,0,1,0,5,1,3,0,0,1,5,19,3,5,5,10,0,2,1,5,9,5,5,10,23,5,0.83,8,15,1,9,0,5,1,66,1,1,1,2,3,1.6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.56,0,0,2,0,0,0,0,0,0
3.5,0.875,0.40625,0.054754179,1,0,0,0,1,100,0.651041687,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,8.854166985,80,2.5,0.416666657,0,0,4,1,12,8.333333015,3,75,9.244791985,78.8888855,5.5,0.458333343,3,25,3,1,0.00390625,0.001302083,4,0.520156026,0.001436265,0.203118503,3,589824,379764,0.130208328,0.202230856,15.60119057,0.002648507,0.142342985,62.08891678,2,0.080739811,0.00260078,3.5,0.875,0.256097585,0.000204544,0,3,52,1,0,1,0,5,1,3,0,0,1,5,19,1,5,5,11,0,1,1,5,6,5,5,11,22,5,0.86,11,16,1,10,0,5,1,0,2,1,3,2,5,3.6,1,2,1.4,1,1,1,1,0,0,0,1,1,1,1,1,0.653846154,1,0,2,1,0,0,0,0,0
1.666666627,0.555555582,0.839506149,0.073737845,1,0,0,0,1,100,0.651041687,100,0,0,0,0,2,1,2,50,1,50,13.02083302,88.49557495,0.5,0.25,0,0,3,2,6,33.33333206,1,33.33333206,13.28125,86.44068146,2,0.333333343,0.5,8.333333015,2,1,0.002604167,0.001302083,3,0.390117049,0.001050526,0.148566827,2,589824,380465,0.130208328,0.201858252,0.333333343,5.66E-05,0.141143441,65.16391754,2,0.084738515,0.00260078,2,0.666666627,0.397085816,0.017384205,0,3,52,1,0,1,0,5,1,3,0,0,1,5,19,3,5,5,11,0,2,1,5,9,5,5,11,24,5,0.79,9,16,1,10,0,5,1,66,2,1,1,2,3,1.6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.596153846,0,0,2,0,0,0,0,0,0
4.199999809,0.839999974,0.382222235,0.091158189,1,0,0,0,1,100,0.651041687,100,0,0,0,0,4,2,12,16.66666603,2,50,8.854166985,75.55555725,5,0.416666657,0,0,5,2,20,10,3,60,9.375,75.78947449,9,0.449999988,4,20,4,1,0.005208333,0.001302083,5,0.650195062,0.001511557,0.213766381,4,589824,379792,0.130208328,0.202215955,16.60119057,0.00281827,0.142932594,60.92227173,2,0.079222716,0.00260078,4.199999809,0.839999974,0.220639393,0.006038916,0,4,61,2,0,1,0,7,1,4,0,0,1,5,19,1,5,7,12,0,1,2,5,12,7,5,12,31,9,0.61,11,21,2,13,0,5,1,0,2,1,3,3,5,3.6,1,3,1.8,1,2,1.4,1,1,0.571428571,0,1,1,1,1,1,0.590163934,1,0,2,1,0,0,0,0,0
2,1,0.5,0,1,0,0,0,1,100,0.651041687,100,0,0,0,0,1,0,0,0,1,100,3.645833254,100,0,0,0,0,2,0,2,0,2,100,4.036458492,93.93939209,1,0.5,1,50,1,1,0.001302083,0.001302083,2,0.260078013,0.000266966,0.037754711,1,589824,380833,0.130208328,0.201663196,0.333333343,5.66E-05,0.137098908,48.81119537,2,0.063473597,0.00260078,2,1,0.5,0,0,3,43,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,8,0,2,1,3,5,3,3,8,15,3,1.27,9,11,1,7,0,3,1,66,2,1,0,1,3,2.666666667,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.651162791,0,0,2,0,0,0,0,0,0
3.9375,0.5625,0.490834296,0.102553435,0,0,0,0,0,0,0,0,0,0,0,0,6,10,30,33.33333206,2,33.33333206,26.171875,67.22408295,10,0.333333343,0,0,6,10,30,33.33333206,2,33.33333206,26.171875,67.22408295,10,0.333333343,0,0,6,0,0.0078125,0,7,0.910273075,0.021094639,2.983232498,7,590592,379359,0.130039006,0.202446759,0,0,0.145307451,89.37419891,1,0.116221324,0.00130039,4.333333492,0.722222209,0.192726538,0.001731126,0,4,89,2,1,1,0,16,1,4,0,0,1,12,0,4,12,16,38,2,2,2,9,22,16,12,35,74,21,0,15,56,2,36,0,12,1,50,3,0,5,1,6,2.583333333,0,4,2.166666667,1,2,1.333333333,1,1,0.444444444,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,5.598958492,100,0,0,0,0,1,0,0,0,1,100,5.598958492,100,0,0,0,0,1,0,0.001302083,0,1,0.130039006,0.002514994,0.35567385,1,590592,378763,0.130039006,0.202765316,0,0,0.129358172,72.61112976,1,0.094422795,0.00130039,1,1,1,1,0,3,61,1,0,1,0,1,1,3,0,0,1,1,40,1,1,1,4,0,0,1,1,1,1,1,4,7,1,5.71,14,5,1,3,0,1,1,0,4,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,0,0,0,0,0,0,0.983606557,0,0,1,0,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,5.598958492,100,0,0,0,0,1,0,0,0,1,100,5.598958492,100,0,0,0,0,1,0,0.001302083,0,1,0.130039006,0.002514994,0.35567385,1,590592,378763,0.130039006,0.202765316,0,0,0.129358172,72.61112976,1,0.094422795,0.00130039,1,1,1,1,0,3,61,1,0,1,0,1,1,3,0,0,1,1,40,1,1,1,4,0,0,1,1,1,1,1,4,7,1,5.71,14,5,1,3,0,1,1,0,4,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.983606557,0,0,1,0,1,0,0,0,0
